"Network","Domain","Path","Name","Value","Last Checked","Information Page","Notes"
"Rocket Fuel",".rfihub.com","/","a","cOPT_OUT","2011-06-17 00:38:00","http://www.rocketfuelinc.com/privacy.html","This one may be phased out for the j cookie. (2010-07-30)"
"Rocket Fuel",".rfihub.com","/","j","cOPT_OUT","2011-06-17 00:38:00","http://www.rocketfuelinc.com/privacy.html","Updated from http://www.aboutads.info/choices/ (2011-06-17)"
"Safecount",".questionmarket.com","/","ST","OPTOUT_","0000-00-00 00:00:00",,
"ScanScout",".scanscout.com","/","ENFORCE_PRIVACY",,"0000-00-00 00:00:00",,
"Smart Adserver",".smartadserver.com","/","pid","Optout","0000-00-00 00:00:00",,
"Snoobi",".snoobi.com","/","Snoobi_optout",1,"0000-00-00 00:00:00",,
"Specific Media",".adviva.net","/","ADVIVA","NOTRACK","0000-00-00 00:00:00",,
"Specific Media",".specificclick.net","/","ADVIVA","NOTRACK","0000-00-00 00:00:00",,
"Specific Media",".specificmedia.com","/","ADVIVA","NOTRACK","0000-00-00 00:00:00",,
"Tacoda",".tacoda.net","/","TID","tacodaamoptout","0000-00-00 00:00:00",,
"Tatto Media","www.tattomedia.com","/assets/tattomedia/optout/","na_optout",1,"0000-00-00 00:00:00",,
"Tealium","www.tealium.com","/","SM_OPTOUT",1,"0000-00-00 00:00:00",,
"TradeDoubler",".tradedoubler.com","/","TD_OPT_OUT","dummy","0000-00-00 00:00:00",,
"Traffic Marketplace",".trafficmp.com","/","naiopt","out","0000-00-00 00:00:00",,
"Tribal Fusion",".tribalfusion.com","/","ANON_ID","OptOut","0000-00-00 00:00:00",,
"TruEffect",".adlegend.com","/","ID","OPT_OUT","0000-00-00 00:00:00",,
"Tumri",".tumri.net","/","t_opt","OPT-OUT","0000-00-00 00:00:00",,
"Tumri",".yt1187.net","/","t_opt","OPT-OUT","0000-00-00 00:00:00",,
"Turn",".turn.com","/","optOut",1,"0000-00-00 00:00:00",,
"Undertone Networks",".ads.undertone.com","/","UTOPTOUT","OPTOUT","0000-00-00 00:00:00",,
"Vibrant Media",".intellitxt.com","/","ITXTCtxtHistOff",1,"0000-00-00 00:00:00",,
"Vizu",".vizu.com","/","opt-out","true","0000-00-00 00:00:00",,
"Web Trends",".webtrendslive.com","/","WTLOPTOUT","yes","0000-00-00 00:00:00",,
"weborama",".weborama.fr","/","AFFICHE_W","____________","0000-00-00 00:00:00",,
"XGraph",".xgraph.net","/","XG_OPT_OUT","OPTOUT","2010-07-30 16:15:00","http://www.xgraph.net/optout.php",
"Yahoo",".yahoo.com","/","AO","o=1","0000-00-00 00:00:00",,
"Yahoo / Right Media",".ad.yieldmanager.com","/","optout",1,"0000-00-00 00:00:00",,
"YuMe Inc.",".yumenetworks.com","/","ymoo","true","0000-00-00 00:00:00",,
"Zedo (Undertone Networks)",".zedo.com","/","ZEDOIDA","OPT_OUT","0000-00-00 00:00:00",,
,".adchemy.com","/","adc_optout","opted_out","2010-11-16 00:00:00","Thanks to Jim Brock at PrivacyChoice",
,".addthis.com","/","uid","0000000000000000","2011-06-17 00:41:00","Updated from http://www.aboutads.info/choices/",
,".adgear.com","/","AdGear_OPTOUT","agOptedOut","2010-11-16 00:00:02","Thanks to Jim Brock at PrivacyChoice",
,".adnxs.com","/","uuid2",-1,"2010-11-16 00:00:03","Thanks to Jim Brock at PrivacyChoice",
